tiempo_s,temperatura_C
0.00,25.75
0.50,26.00
1.00,26.00
1.50,25.75
2.00,26.25
2.50,25.75
3.00,25.75
3.50,25.50
4.00,26.00
4.50,26.00
5.00,25.75
5.50,25.75
6.00,25.75
6.50,26.00
7.00,25.75
7.50,25.75
8.00,25.75
8.50,26.00
9.00,25.25
9.50,25.50
10.00,26.00
10.50,25.75
11.00,25.50
11.50,25.75
12.00,25.25
12.50,25.00
13.00,25.25
13.50,25.75
14.00,26.00
14.50,25.75
15.00,25.50
15.50,25.75
16.00,25.75
16.50,25.75
17.00,26.00
17.50,25.50
18.00,26.00
18.50,25.75
19.00,26.00
19.50,25.50
20.00,25.25
20.50,25.75
21.00,25.50
21.50,25.75
22.00,25.50
22.50,25.50
23.00,25.50
23.50,25.75
24.00,25.75
24.50,26.00
25.00,25.75
25.50,25.75
26.00,25.25
26.50,25.75
27.00,25.50
27.50,25.50
28.00,25.50
28.50,25.50
29.00,25.50
29.50,25.25
30.00,25.00
30.50,25.25
31.00,25.50
31.50,26.25
32.00,25.75
32.50,25.75
33.00,25.50
33.50,25.50
34.00,25.75
34.50,25.75
35.00,25.75
35.50,25.75
36.00,25.75
36.50,25.75
37.00,25.75
37.50,25.75
38.00,25.50
38.50,25.75
39.00,25.75
39.50,25.50
40.00,26.00
40.50,25.75
41.00,26.00
41.50,25.75
42.00,25.75
42.50,25.75
43.00,25.00
43.50,25.50
44.00,25.50
44.50,25.75
45.00,25.25
45.50,25.50
46.00,25.50
46.50,25.75
47.00,25.50
47.50,25.50
48.00,25.50
48.50,25.25
49.00,25.25
49.50,25.75
50.00,25.50
50.50,25.00
51.00,25.50
51.50,25.25
52.00,25.50
52.50,25.75
53.00,25.50
53.50,25.25
54.00,25.75
54.50,25.50
55.00,25.50
55.50,25.75
56.00,25.75
56.50,25.75
57.00,25.75
57.50,25.75
58.00,25.50
58.50,24.75
59.00,25.50
59.50,25.50
60.00,25.50
60.50,25.75
61.00,25.75
61.50,25.25
62.00,26.00
62.50,25.25
63.00,25.50
63.50,25.25
64.00,25.50
64.50,25.50
65.00,25.75
65.50,25.50
66.00,25.50
66.50,25.75
67.00,26.00
67.50,25.50
68.00,25.50
68.50,25.25
69.00,26.00
69.50,26.00
70.00,25.00
70.50,25.50
71.00,25.25
71.50,25.25
72.00,25.25
72.50,25.50
73.00,25.75
73.50,25.50
74.00,25.50
74.50,25.50
75.00,25.50
75.50,25.25
76.00,25.25
76.50,25.75
77.00,25.50
77.50,25.50
78.00,25.25
78.50,25.25
79.00,25.50
79.50,25.25
80.00,25.75
80.50,25.50
81.00,25.25
81.50,25.25
82.00,25.50
82.50,25.00
83.00,25.50
83.50,25.25
84.00,25.00
84.50,25.00
85.00,25.00
85.50,25.00
86.00,25.00
86.50,25.50
87.00,25.50
87.50,25.50
88.00,25.25
88.50,25.50
89.00,25.25
89.50,25.50
90.00,25.50
90.50,25.50
91.00,25.50
91.50,25.00
92.00,24.75
92.50,25.50
93.00,25.25
93.50,25.50
94.00,25.50
94.50,25.00
95.00,25.50
95.50,25.25
96.00,25.25
96.50,25.50
97.00,25.75
97.50,25.25
98.00,25.00
98.50,25.00
99.00,25.25
99.50,25.50
100.00,25.00
100.50,25.00
101.00,25.25
101.50,25.25
102.00,25.50
102.50,25.25
103.00,25.00
103.50,25.50
104.00,24.50
104.50,25.50
105.00,25.50
105.50,25.00
106.00,25.00
106.50,25.25
107.00,25.25
107.50,25.25
108.00,25.00
108.50,24.75
109.00,25.50
109.50,25.25
110.00,25.25
110.50,25.50
111.00,25.00
111.50,25.50
112.00,25.25
112.50,24.50
113.00,25.25
113.50,25.25
114.00,25.25
114.50,25.50
115.00,25.50
115.50,25.00
116.00,25.50
116.50,25.25
117.00,25.00
117.50,25.00
118.00,25.50
118.50,24.75
119.00,25.25
119.50,25.00
120.00,24.75
120.50,24.75
121.00,25.25
121.50,25.00
122.00,25.25
122.50,25.00
123.00,24.75
123.50,25.50
124.00,25.25
124.50,25.25
125.00,25.25
125.50,25.00
126.00,25.25
126.50,25.25
127.00,25.25
127.50,25.00
128.00,25.00
128.50,25.00
129.00,25.25
129.50,25.00
130.00,25.00
130.50,25.50
131.00,25.00
131.50,25.25
132.00,25.00
132.50,25.25
133.00,25.25
133.50,25.00
134.00,25.00
134.50,25.00
135.00,24.75
135.50,25.00
136.00,25.00
136.50,24.75
137.00,24.75
137.50,25.25
138.00,25.25
138.50,25.25
139.00,25.00
139.50,25.25
140.00,24.50
140.50,25.00
141.00,25.00
141.50,25.25
142.00,25.00
142.50,25.00
143.00,25.00
143.50,25.00
144.00,25.00
144.50,25.25
145.00,25.25
145.50,25.25
146.00,25.50
146.50,25.00
147.00,25.50
147.50,25.00
148.00,25.25
148.50,25.25
149.00,25.00
149.50,24.50
150.00,25.25
150.50,24.50
151.00,25.00
151.50,25.25
152.00,25.00
152.50,25.25
153.00,24.75
153.50,25.00
154.00,25.00
154.50,25.00
155.00,25.00
155.50,25.00
156.00,25.00
156.50,25.50
157.00,25.00
157.50,24.75
158.00,25.50
158.50,25.25
159.00,25.25
159.50,24.50
160.00,24.75
160.50,24.75
161.00,25.25
161.50,25.00
162.00,24.75
162.50,24.75
163.00,25.25
163.50,25.00
164.00,25.25
164.50,25.25
165.00,25.00
165.50,25.25
166.00,24.75
166.50,25.25
167.00,25.25
167.50,25.00
168.00,24.75
168.50,25.00
169.00,25.25
169.50,24.75
170.00,25.00
170.50,25.25
171.00,25.25
171.50,25.00
172.00,25.50
172.50,25.00
173.00,25.25
173.50,24.75
174.00,24.75
174.50,24.50
175.00,24.75
175.50,24.75
176.00,25.00
176.50,25.25
177.00,25.25
177.50,25.00
178.00,24.75
178.50,25.25
179.00,24.50
179.50,25.00
180.00,25.50
180.50,25.00
181.00,25.25
181.50,25.00
182.00,25.00
182.50,25.00
183.00,25.00
183.50,25.00
184.00,25.00
184.50,25.25
185.00,25.25
185.50,25.25
186.00,25.00
186.50,25.00
187.00,25.25
187.50,25.25
188.00,25.00
188.50,24.75
189.00,25.25
189.50,25.25
190.00,25.00
190.50,24.75
191.00,25.00
191.50,25.25
192.00,25.00
192.50,25.00
193.00,25.25
193.50,25.25
194.00,25.25
194.50,25.00
195.00,25.00
195.50,25.25
196.00,25.00
196.50,24.75
197.00,24.75
197.50,25.25
198.00,24.50
198.50,25.25
199.00,25.00
199.50,25.25
200.00,24.75
200.50,25.25
201.00,25.25
201.50,25.25
202.00,25.25
202.50,25.50
203.00,25.25
203.50,25.25
204.00,25.00
204.50,25.00
205.00,25.00
205.50,25.00
206.00,25.25
206.50,25.25
207.00,25.25
207.50,25.25
208.00,25.50
208.50,25.00
209.00,25.25
209.50,25.25
210.00,25.50
210.50,24.75
211.00,25.25
211.50,25.25
212.00,25.25
212.50,25.00
213.00,25.50
213.50,24.50
214.00,25.50
214.50,25.50
215.00,25.50
215.50,25.25
216.00,25.50
216.50,25.25
217.00,25.25
217.50,25.00
218.00,25.25
218.50,25.25
219.00,25.75
219.50,25.25
220.00,25.25
220.50,25.50
221.00,25.50
221.50,25.50
222.00,24.75
222.50,25.50
223.00,25.50
223.50,25.00
224.00,25.00
224.50,25.50
225.00,25.75
225.50,25.50
226.00,25.50
226.50,25.00
227.00,25.25
227.50,25.75
228.00,24.75
228.50,25.00
229.00,25.75
229.50,25.50
230.00,25.50
230.50,25.50
231.00,25.50
231.50,25.25
232.00,25.25
232.50,25.00
233.00,25.25
233.50,25.50
234.00,25.25
234.50,25.25
235.00,25.00
235.50,25.50
236.00,25.50
236.50,25.25
237.00,25.50
237.50,25.50
238.00,25.50
238.50,25.50
239.00,25.75
239.50,25.50
240.00,25.50
240.50,25.50
241.00,25.75
241.50,25.75
242.00,26.00
242.50,25.25
243.00,25.25
243.50,25.25
244.00,25.50
244.50,25.50
245.00,25.50
245.50,25.75
246.00,25.75
246.50,25.00
247.00,25.50
247.50,26.00
248.00,25.00
248.50,25.25
249.00,25.75
249.50,25.50
250.00,25.50
250.50,25.75
251.00,25.75
251.50,25.50
252.00,25.75
252.50,25.50
253.00,25.25
253.50,26.00
254.00,25.50
254.50,25.75
255.00,25.00
255.50,25.25
256.00,25.75
256.50,25.50
257.00,25.75
257.50,25.75
258.00,25.25
258.50,25.75
259.00,25.75
259.50,25.25
260.00,25.75
260.50,25.50
261.00,25.25
261.50,26.00
262.00,25.75
262.50,25.75
263.00,25.25
263.50,25.25
264.00,25.75
264.50,25.75
265.00,25.50
265.50,25.75
266.00,26.00
266.50,25.75
267.00,25.75
267.50,26.00
268.00,25.75
268.50,25.75
269.00,26.00
269.50,26.00
270.00,25.75
270.50,25.75
271.00,25.25
271.50,25.50
272.00,25.75
272.50,25.75
273.00,26.00
273.50,26.00
274.00,26.00
274.50,25.75
275.00,26.00
275.50,25.50
276.00,26.00
276.50,26.00
277.00,25.50
277.50,25.75
278.00,25.75
278.50,26.00
279.00,26.00
279.50,26.00
280.00,25.75
280.50,26.25
281.00,26.00
281.50,26.00
282.00,26.00
282.50,25.75
283.00,26.00
283.50,25.75
284.00,26.00
284.50,26.00
285.00,26.25
285.50,25.75
286.00,26.25
286.50,26.00
287.00,25.75
287.50,25.75
288.00,26.25
288.50,26.00
289.00,26.00
289.50,25.75
290.00,25.25
290.50,26.00
291.00,25.00
291.50,25.50
292.00,25.75
292.50,25.75
293.00,25.75
293.50,26.25
294.00,26.00
294.50,25.50
295.00,26.25
295.50,26.00
296.00,25.75
296.50,26.25
297.00,25.75
297.50,25.75
298.00,26.00
298.50,26.00
299.00,26.25
299.50,25.50
300.00,25.75
300.50,26.25
301.00,26.25
301.50,26.00
302.00,26.25
302.50,26.25
303.00,26.25
303.50,26.50
304.00,26.25
304.50,26.00
305.00,26.00
305.50,26.25
306.00,26.00
306.50,26.25
307.00,26.25
307.50,25.75
308.00,26.25
308.50,26.00
309.00,26.25
309.50,26.25
310.00,26.25
310.50,26.00
311.00,25.75
311.50,26.25
312.00,26.25
312.50,26.25
313.00,26.25
313.50,26.25
314.00,26.25
314.50,26.25
315.00,26.00
315.50,26.25
316.00,26.00
316.50,26.25
317.00,26.25
317.50,26.00
318.00,26.25
318.50,26.25
319.00,26.25
319.50,26.25
320.00,26.25
320.50,26.50
321.00,25.50
321.50,26.25
322.00,26.00
322.50,26.25
323.00,26.50
323.50,26.25
324.00,26.25
324.50,26.25
325.00,26.25
325.50,26.25
326.00,26.00
326.50,26.25
327.00,26.50
327.50,26.50
328.00,26.25
328.50,26.25
329.00,26.25
329.50,26.25
330.00,26.50
330.50,26.00
331.00,26.25
331.50,26.25
332.00,26.25
332.50,26.25
333.00,26.50
333.50,26.50
334.00,26.00
334.50,26.25
335.00,26.25
335.50,26.50
336.00,26.50
336.50,26.50
337.00,26.50
337.50,26.50
338.00,26.75
338.50,26.50
339.00,26.50
339.50,26.50
340.00,26.25
340.50,26.50
341.00,26.75
341.50,26.75
342.00,27.00
342.50,27.00
343.00,26.50
343.50,26.50
344.00,26.00
344.50,26.75
345.00,26.75
345.50,25.75
346.00,26.00
346.50,26.25
347.00,26.25
347.50,26.25
348.00,26.25
348.50,26.25
349.00,27.00
349.50,26.00
350.00,27.00
350.50,26.50
351.00,26.75
351.50,26.25
352.00,26.50
352.50,26.75
353.00,26.50
353.50,27.00
354.00,26.50
354.50,26.50
355.00,26.75
355.50,26.75
356.00,27.00
356.50,26.50
357.00,26.00
357.50,26.75
358.00,26.50
358.50,26.75
359.00,26.75
359.50,26.75
360.00,26.75
360.50,26.75
361.00,26.75
361.50,26.50
362.00,26.75
362.50,26.50
363.00,26.75
363.50,26.50
364.00,26.50
364.50,26.75
365.00,26.75
365.50,26.75
366.00,26.75
366.50,27.25
367.00,27.00
367.50,26.50
368.00,27.00
368.50,27.00
369.00,26.50
369.50,26.50
370.00,26.75
370.50,26.00
371.00,26.75
371.50,27.00
372.00,27.00
372.50,26.75
373.00,27.00
373.50,26.50
374.00,27.00
374.50,26.50
375.00,27.00
375.50,27.00
376.00,27.00
376.50,27.00
377.00,27.25
377.50,27.00
378.00,26.75
378.50,26.50
379.00,27.00
379.50,26.50
380.00,27.25
380.50,27.00
381.00,26.75
381.50,26.50
382.00,26.75
382.50,26.75
383.00,27.25
383.50,27.00
384.00,27.00
384.50,26.75
385.00,27.00
385.50,27.00
386.00,27.00
386.50,26.75
387.00,26.50
387.50,27.25
388.00,27.25
388.50,27.00
389.00,26.50
389.50,27.00
390.00,26.50
390.50,26.25
391.00,27.25
391.50,27.00
392.00,26.50
392.50,27.00
393.00,26.75
393.50,26.75
394.00,27.00
394.50,27.25
395.00,27.25
395.50,26.50
396.00,26.50
396.50,27.00
397.00,26.75
397.50,26.75
398.00,26.75
398.50,26.50
399.00,26.75
399.50,26.75
400.00,26.75
400.50,27.00
401.00,27.00
401.50,27.25
402.00,26.50
402.50,26.50
403.00,27.00
403.50,27.00
404.00,27.25
404.50,27.00
405.00,26.75
405.50,26.75
406.00,27.25
406.50,27.00
407.00,27.50
407.50,26.75
408.00,27.25
408.50,27.25
409.00,27.00
409.50,27.25
410.00,27.00
410.50,26.75
411.00,27.00
411.50,27.25
412.00,27.00
412.50,27.25
413.00,27.25
413.50,27.25
414.00,27.00
414.50,27.00
415.00,27.00
415.50,27.25
416.00,27.50
416.50,27.00
417.00,27.50
417.50,27.25
418.00,27.25
418.50,26.75
419.00,27.50
419.50,27.25
420.00,27.25
420.50,27.25
421.00,27.25
421.50,27.25
422.00,27.25
422.50,27.50
423.00,27.25
423.50,27.25
424.00,27.50
424.50,27.50
425.00,27.25
425.50,26.75
426.00,27.25
426.50,27.25
427.00,27.25
427.50,27.25
428.00,26.75
428.50,27.25
429.00,27.50
429.50,27.25
430.00,27.50
430.50,27.50
431.00,27.50
431.50,27.25
432.00,27.25
432.50,27.00
433.00,27.50
433.50,27.75
434.00,27.50
434.50,27.50
435.00,27.75
435.50,27.00
436.00,27.50
436.50,26.50
437.00,27.75
437.50,27.50
438.00,27.50
438.50,27.25
439.00,27.25
439.50,27.25
440.00,27.00
440.50,27.75
441.00,27.75
441.50,27.25
442.00,27.00
442.50,27.50
443.00,27.25
443.50,27.50
444.00,27.25
444.50,27.50
445.00,27.50
445.50,27.25
446.00,27.50
446.50,27.50
447.00,27.50
447.50,27.50
448.00,27.25
448.50,27.25
449.00,27.25
