tiempo_s,temperatura_C
0.00,25.00
0.50,24.75
1.00,24.50
1.50,24.00
2.00,24.50
2.50,24.50
3.00,24.75
3.50,24.75
4.00,24.75
4.50,24.50
5.00,24.50
5.50,24.50
6.00,24.50
6.50,24.50
7.00,24.25
7.50,24.50
8.00,24.50
8.50,24.75
9.00,24.50
9.50,24.75
10.00,24.75
10.50,24.50
11.00,24.25
11.50,24.75
12.00,25.00
12.50,24.25
13.00,24.75
13.50,24.75
14.00,24.75
14.50,25.00
15.00,24.75
15.50,24.25
16.00,24.75
16.50,24.50
17.00,24.00
17.50,24.75
18.00,24.25
18.50,24.00
19.00,24.75
19.50,24.25
20.00,24.75
20.50,24.50
21.00,24.75
21.50,24.50
22.00,24.50
22.50,24.75
23.00,24.00
23.50,25.00
24.00,24.75
24.50,24.50
25.00,24.25
25.50,24.75
26.00,24.50
26.50,24.50
27.00,24.50
27.50,24.00
28.00,24.50
28.50,24.50
29.00,24.75
29.50,24.75
30.00,24.75
30.50,24.50
31.00,24.50
31.50,24.25
32.00,24.50
32.50,24.25
33.00,24.50
33.50,24.75
34.00,24.25
34.50,24.50
35.00,24.50
35.50,25.00
36.00,24.50
36.50,24.75
37.00,24.50
37.50,24.50
38.00,24.25
38.50,24.25
39.00,24.50
39.50,24.25
40.00,24.00
40.50,24.50
41.00,24.75
41.50,24.50
42.00,24.50
42.50,24.50
43.00,24.25
43.50,24.50
44.00,24.25
44.50,25.00
45.00,24.25
45.50,25.00
46.00,24.25
46.50,24.50
47.00,25.00
47.50,24.75
48.00,24.75
48.50,24.25
49.00,24.50
49.50,24.75
50.00,24.75
50.50,24.75
51.00,24.50
51.50,24.50
52.00,24.50
52.50,24.25
53.00,24.50
53.50,24.25
54.00,24.25
54.50,24.50
55.00,24.25
55.50,24.25
56.00,24.50
56.50,24.25
57.00,24.50
57.50,24.50
58.00,24.50
58.50,25.00
59.00,25.00
59.50,24.25
60.00,25.00
60.50,24.25
61.00,25.00
61.50,24.25
62.00,24.75
62.50,24.75
63.00,25.00
63.50,25.00
64.00,24.75
64.50,24.75
65.00,24.50
65.50,25.00
66.00,25.00
66.50,24.75
67.00,25.00
67.50,24.25
68.00,24.75
68.50,24.75
69.00,24.75
69.50,24.50
70.00,24.00
70.50,24.50
71.00,24.50
71.50,24.25
72.00,25.00
72.50,24.75
73.00,25.00
73.50,24.25
74.00,25.00
74.50,25.00
75.00,25.00
75.50,25.00
76.00,25.00
76.50,24.50
77.00,24.25
77.50,24.50
78.00,24.75
78.50,25.00
79.00,24.50
79.50,25.00
80.00,24.50
80.50,25.00
81.00,24.25
81.50,25.00
82.00,24.75
82.50,25.25
83.00,24.75
83.50,25.00
84.00,25.00
84.50,24.25
85.00,24.75
85.50,24.50
86.00,24.75
86.50,24.75
87.00,25.00
87.50,24.50
88.00,24.25
88.50,24.50
89.00,25.00
89.50,25.00
90.00,25.25
90.50,24.50
91.00,24.25
91.50,24.75
92.00,25.25
92.50,24.75
93.00,24.75
93.50,24.25
94.00,25.00
94.50,24.75
95.00,24.50
95.50,24.50
96.00,25.00
96.50,25.00
97.00,24.25
97.50,24.75
98.00,24.50
98.50,25.00
99.00,24.75
99.50,24.50
100.00,24.75
100.50,24.50
101.00,24.75
101.50,24.50
102.00,24.75
102.50,25.00
103.00,25.00
103.50,24.00
104.00,25.25
104.50,25.25
105.00,25.25
105.50,25.25
106.00,25.00
106.50,25.00
107.00,24.75
107.50,24.75
108.00,24.75
108.50,25.00
109.00,25.25
109.50,25.00
110.00,25.25
110.50,24.75
111.00,24.75
111.50,24.75
112.00,24.75
112.50,25.25
113.00,25.00
113.50,25.00
114.00,24.75
114.50,24.75
115.00,24.75
115.50,25.00
116.00,24.75
116.50,24.75
117.00,24.50
117.50,25.25
118.00,25.25
118.50,24.50
119.00,25.00
119.50,24.75
120.00,24.50
120.50,24.25
121.00,24.75
121.50,25.25
122.00,25.00
122.50,24.75
123.00,24.50
123.50,24.50
124.00,25.00
124.50,24.75
125.00,24.50
125.50,25.25
126.00,24.75
126.50,25.00
127.00,24.75
127.50,25.00
128.00,25.25
128.50,25.00
129.00,24.75
129.50,25.00
130.00,25.25
130.50,25.00
131.00,24.75
131.50,25.00
132.00,25.00
132.50,25.25
133.00,24.75
133.50,25.00
134.00,25.25
134.50,25.25
135.00,25.00
135.50,24.50
136.00,25.00
136.50,25.00
137.00,24.75
137.50,25.00
138.00,25.00
138.50,24.75
139.00,24.50
139.50,25.25
140.00,25.00
140.50,25.50
141.00,25.00
141.50,25.25
142.00,25.50
142.50,25.25
143.00,25.25
143.50,25.25
144.00,25.00
144.50,25.00
145.00,25.00
145.50,25.00
146.00,25.25
146.50,25.00
147.00,25.25
147.50,25.50
148.00,25.50
148.50,25.25
149.00,25.25
149.50,25.25
150.00,24.50
150.50,25.25
151.00,25.00
151.50,25.50
152.00,25.00
152.50,25.25
153.00,25.00
153.50,25.25
154.00,24.75
154.50,25.25
155.00,25.25
155.50,24.75
156.00,25.25
156.50,25.50
157.00,25.00
157.50,25.50
158.00,25.25
158.50,25.25
159.00,25.00
159.50,25.25
160.00,25.00
160.50,25.25
161.00,25.00
161.50,25.25
162.00,25.00
162.50,25.00
163.00,25.00
163.50,25.25
164.00,25.25
164.50,25.50
165.00,25.25
165.50,25.25
166.00,24.50
166.50,25.00
167.00,25.50
167.50,25.25
168.00,25.00
168.50,24.75
169.00,25.25
169.50,25.25
170.00,25.00
170.50,25.50
171.00,25.50
171.50,24.50
172.00,25.25
172.50,24.50
173.00,25.00
173.50,25.00
174.00,25.00
174.50,24.75
175.00,25.50
175.50,25.00
176.00,25.00
176.50,24.75
177.00,24.75
177.50,25.25
178.00,25.25
178.50,25.50
179.00,25.25
179.50,25.50
180.00,25.25
180.50,25.50
181.00,25.25
181.50,25.50
182.00,25.25
182.50,25.00
183.00,25.50
183.50,25.50
184.00,25.25
184.50,25.25
185.00,25.00
185.50,25.50
186.00,25.50
186.50,25.25
187.00,25.00
187.50,25.25
188.00,25.25
188.50,24.75
189.00,25.50
189.50,25.25
190.00,25.50
190.50,25.50
191.00,25.00
191.50,25.50
192.00,25.00
192.50,25.25
193.00,25.50
193.50,25.25
194.00,25.50
194.50,25.50
195.00,25.25
195.50,25.25
196.00,25.25
196.50,25.25
197.00,25.25
197.50,25.75
198.00,25.25
198.50,25.50
199.00,25.50
199.50,25.50
200.00,25.25
200.50,25.25
201.00,25.25
201.50,25.00
202.00,25.75
202.50,25.25
203.00,25.25
203.50,25.25
204.00,25.50
204.50,25.50
205.00,25.75
205.50,25.50
206.00,25.50
206.50,25.50
207.00,25.50
207.50,25.50
208.00,25.50
208.50,25.25
209.00,25.00
209.50,25.75
210.00,25.50
210.50,25.25
211.00,25.75
211.50,25.25
212.00,25.75
212.50,24.75
213.00,25.50
213.50,25.00
214.00,25.50
214.50,25.25
215.00,25.25
215.50,25.25
216.00,25.75
216.50,25.75
217.00,25.75
217.50,25.50
218.00,25.50
218.50,26.00
219.00,25.50
219.50,25.75
220.00,25.50
220.50,25.50
221.00,25.75
221.50,25.25
222.00,25.75
222.50,25.50
223.00,25.50
223.50,25.25
224.00,25.50
224.50,25.50
225.00,25.50
225.50,25.00
226.00,25.75
226.50,25.50
227.00,25.75
227.50,25.00
228.00,25.50
228.50,25.25
229.00,25.75
229.50,25.75
230.00,25.25
230.50,25.50
231.00,25.50
231.50,25.25
232.00,25.25
232.50,25.50
233.00,25.50
233.50,25.50
234.00,25.50
234.50,25.50
235.00,25.75
235.50,25.75
236.00,25.50
236.50,25.50
237.00,25.75
237.50,25.50
238.00,25.75
238.50,25.50
239.00,25.75
239.50,25.75
240.00,25.75
240.50,25.50
241.00,25.00
241.50,25.50
242.00,25.75
242.50,26.00
243.00,25.50
243.50,25.75
244.00,25.75
244.50,25.75
245.00,26.00
245.50,26.00
246.00,26.00
246.50,25.75
247.00,25.50
247.50,25.00
248.00,25.75
248.50,26.00
249.00,25.75
249.50,25.75
250.00,26.00
250.50,25.50
251.00,25.25
251.50,25.50
252.00,25.75
252.50,25.75
253.00,25.25
253.50,25.50
254.00,25.25
254.50,26.00
255.00,26.00
255.50,25.75
256.00,25.75
256.50,25.75
257.00,25.75
257.50,25.25
258.00,25.50
258.50,26.00
259.00,25.75
259.50,26.25
260.00,25.75
260.50,25.75
261.00,26.00
261.50,25.75
262.00,25.75
262.50,25.50
263.00,25.75
263.50,26.00
264.00,26.00
264.50,25.75
265.00,26.00
265.50,25.75
266.00,26.00
266.50,26.25
267.00,26.00
267.50,25.50
268.00,25.50
268.50,25.75
269.00,25.25
269.50,26.25
270.00,25.25
270.50,25.75
271.00,26.25
271.50,25.75
272.00,26.00
272.50,26.00
273.00,26.25
273.50,25.75
274.00,25.75
274.50,25.75
275.00,26.25
275.50,25.50
276.00,25.50
276.50,26.25
277.00,25.75
277.50,26.00
278.00,25.75
278.50,25.50
279.00,26.00
279.50,25.75
280.00,26.00
280.50,26.25
281.00,26.00
281.50,26.00
282.00,26.00
282.50,26.00
283.00,26.25
283.50,25.75
284.00,26.25
284.50,26.25
285.00,26.00
285.50,25.50
286.00,26.00
286.50,26.25
287.00,26.25
287.50,26.00
288.00,25.75
288.50,26.25
289.00,26.00
289.50,25.75
290.00,26.25
290.50,26.00
291.00,26.00
291.50,26.00
292.00,26.25
292.50,26.50
293.00,26.25
293.50,26.50
294.00,26.25
294.50,26.25
295.00,26.25
295.50,26.00
296.00,26.25
296.50,26.50
297.00,26.50
297.50,26.25
298.00,26.25
298.50,26.25
299.00,26.25
299.50,26.25
300.00,26.00
300.50,25.50
301.00,26.25
301.50,26.50
302.00,26.50
302.50,26.50
303.00,26.00
303.50,26.50
304.00,26.25
304.50,26.00
305.00,26.75
305.50,26.25
306.00,26.50
306.50,26.25
307.00,26.50
307.50,26.00
308.00,26.50
308.50,26.50
309.00,26.25
309.50,26.50
310.00,26.00
310.50,26.75
311.00,26.50
311.50,26.50
312.00,26.50
312.50,26.75
313.00,26.25
313.50,26.50
314.00,26.25
314.50,26.75
315.00,26.25
315.50,26.75
316.00,25.75
316.50,26.00
317.00,26.75
317.50,26.50
318.00,26.25
318.50,26.25
319.00,26.75
319.50,26.25
320.00,26.75
320.50,26.00
321.00,26.75
321.50,26.75
322.00,26.75
322.50,26.25
323.00,26.25
323.50,26.50
324.00,26.75
324.50,26.75
325.00,26.75
325.50,26.75
326.00,26.50
326.50,26.75
327.00,26.50
327.50,27.00
328.00,26.50
328.50,26.75
329.00,26.50
329.50,26.25
330.00,26.00
330.50,26.75
331.00,26.50
331.50,26.00
332.00,26.75
332.50,26.75
333.00,26.50
333.50,26.25
334.00,26.75
334.50,26.75
335.00,26.75
335.50,26.50
336.00,26.50
336.50,26.75
337.00,26.75
337.50,26.75
338.00,26.75
338.50,26.75
339.00,26.75
339.50,26.50
340.00,27.00
340.50,26.50
341.00,26.25
341.50,26.25
342.00,27.00
342.50,26.25
343.00,27.00
343.50,27.00
344.00,26.75
344.50,26.50
345.00,26.50
345.50,26.25
346.00,27.00
346.50,26.75
347.00,27.00
347.50,26.75
348.00,27.00
348.50,27.00
349.00,26.75
349.50,27.00
350.00,26.00
350.50,26.75
351.00,26.75
351.50,27.00
352.00,26.25
352.50,26.75
353.00,26.25
353.50,26.50
354.00,26.50
354.50,26.50
355.00,26.25
355.50,26.50
356.00,27.00
356.50,27.00
357.00,27.00
357.50,26.25
358.00,27.00
358.50,26.00
359.00,26.50
359.50,26.75
360.00,27.00
360.50,26.75
361.00,26.50
361.50,26.50
362.00,26.75
362.50,26.50
363.00,26.50
363.50,26.50
364.00,26.25
364.50,27.00
365.00,26.50
365.50,26.75
366.00,26.75
366.50,27.00
367.00,26.75
367.50,26.75
368.00,27.25
368.50,26.75
369.00,26.75
369.50,27.00
370.00,27.25
370.50,26.75
371.00,26.75
371.50,27.25
372.00,26.50
372.50,27.00
373.00,26.75
373.50,26.50
374.00,26.75
374.50,27.25
375.00,27.00
375.50,26.75
376.00,27.00
376.50,27.00
377.00,27.25
377.50,27.00
378.00,26.25
378.50,26.50
379.00,27.25
379.50,27.50
380.00,27.25
380.50,27.25
381.00,27.25
381.50,27.25
382.00,26.75
382.50,27.25
383.00,27.00
383.50,27.00
384.00,26.75
384.50,26.75
385.00,26.75
385.50,27.50
386.00,27.25
386.50,27.00
387.00,27.25
387.50,27.50
388.00,26.75
388.50,27.25
389.00,26.50
389.50,27.00
390.00,27.25
390.50,27.25
391.00,27.50
391.50,27.50
392.00,27.25
392.50,26.75
393.00,27.25
393.50,27.25
394.00,27.25
394.50,27.50
395.00,27.25
395.50,27.25
396.00,27.50
396.50,27.50
397.00,27.25
397.50,27.00
398.00,27.50
398.50,27.50
399.00,27.50
399.50,27.75
400.00,27.75
400.50,27.50
401.00,27.75
401.50,27.75
402.00,27.50
402.50,27.25
403.00,27.50
403.50,27.50
404.00,27.00
404.50,27.50
405.00,27.50
405.50,27.50
406.00,27.25
406.50,27.50
407.00,27.25
407.50,27.50
408.00,27.25
408.50,27.00
409.00,27.75
409.50,27.75
410.00,27.75
410.50,27.00
411.00,27.25
411.50,27.50
412.00,27.25
412.50,27.00
413.00,27.25
413.50,27.25
414.00,27.50
414.50,27.25
415.00,27.50
415.50,27.75
416.00,27.75
416.50,27.75
417.00,27.75
417.50,27.75
418.00,27.50
418.50,27.25
419.00,27.50
419.50,27.75
420.00,27.75
420.50,28.00
421.00,27.50
421.50,27.50
422.00,28.00
422.50,27.75
423.00,27.75
423.50,27.75
424.00,27.50
424.50,28.00
425.00,27.00
425.50,27.75
426.00,27.75
426.50,27.50
427.00,27.50
427.50,27.25
428.00,27.25
428.50,27.50
429.00,28.00
429.50,27.25
430.00,28.00
430.50,27.25
431.00,28.00
431.50,27.75
432.00,28.00
432.50,27.50
433.00,28.00
433.50,27.25
434.00,28.00
434.50,27.75
435.00,28.00
435.50,28.00
436.00,27.25
436.50,27.75
437.00,28.25
437.50,28.00
438.00,27.75
438.50,27.75
439.00,28.00
439.50,28.00
440.00,28.25
440.50,27.25
441.00,27.75
441.50,27.50
442.00,28.25
442.50,27.75
443.00,28.00
443.50,28.00
444.00,27.50
444.50,27.75
445.00,28.00
445.50,28.00
446.00,28.00
446.50,27.75
447.00,28.25
447.50,28.25
448.00,28.00
448.50,27.75
449.00,28.00
449.50,27.75
450.00,27.50
450.50,28.00
451.00,28.25
451.50,28.25
452.00,28.25
452.50,28.00
453.00,28.25
453.50,27.75
454.00,27.50
454.50,27.75
455.00,28.50
455.50,28.25
456.00,27.75
456.50,28.00
457.00,28.00
457.50,28.25
458.00,28.50
458.50,28.25
459.00,28.50
459.50,28.00
460.00,28.25
460.50,28.50
461.00,28.25
461.50,27.75
462.00,28.25
462.50,28.50
463.00,28.00
463.50,28.50
464.00,28.00
464.50,28.25
465.00,28.00
465.50,28.50
466.00,28.50
466.50,28.25
467.00,28.00
467.50,28.50
468.00,28.50
468.50,28.75
469.00,28.25
469.50,28.25
470.00,27.50
470.50,28.50
471.00,28.50
471.50,28.00
472.00,28.25
472.50,28.25
473.00,28.00
473.50,28.00
474.00,28.50
474.50,28.25
475.00,28.25
475.50,28.25
476.00,28.00
476.50,28.50
477.00,28.00
477.50,28.25
478.00,28.50
478.50,28.00
479.00,28.50
479.50,28.00
480.00,28.50
480.50,28.00
481.00,28.50
481.50,28.00
482.00,28.00
482.50,28.00
483.00,28.25
483.50,28.50
484.00,28.00
484.50,28.50
485.00,28.25
485.50,28.50
486.00,28.50
486.50,28.50
487.00,28.50
487.50,28.50
488.00,28.50
488.50,28.00
489.00,28.25
489.50,28.25
490.00,28.50
490.50,28.75
491.00,28.75
491.50,28.00
492.00,27.75
492.50,28.25
493.00,28.25
493.50,28.25
494.00,28.50
494.50,28.25
495.00,28.50
495.50,28.75
496.00,28.50
496.50,28.25
497.00,28.00
497.50,28.50
498.00,28.75
498.50,28.25
499.00,28.25
499.50,28.75
500.00,28.50
500.50,28.75
501.00,28.25
501.50,28.00
502.00,28.25
502.50,28.75
503.00,28.50
503.50,28.25
504.00,28.00
504.50,28.50
505.00,28.75
505.50,28.75
506.00,28.75
506.50,28.25
507.00,28.50
507.50,28.50
508.00,28.00
508.50,28.75
509.00,28.75
509.50,28.50
510.00,28.50
510.50,28.25
511.00,28.75
511.50,28.50
512.00,28.50
512.50,28.50
513.00,28.50
513.50,28.50
514.00,28.50
514.50,28.75
515.00,29.00
515.50,29.00
516.00,28.75
516.50,28.75
517.00,29.00
517.50,28.75
518.00,28.75
518.50,28.50
519.00,29.00
519.50,28.75
520.00,28.75
520.50,28.75
521.00,29.00
521.50,28.50
522.00,29.00
522.50,29.00
523.00,28.25
523.50,29.00
524.00,29.00
524.50,28.50
525.00,28.75
525.50,28.75
526.00,29.25
526.50,29.00
527.00,28.75
527.50,29.25
528.00,28.50
528.50,28.75
529.00,28.75
529.50,28.75
530.00,28.75
530.50,28.75
531.00,28.75
531.50,29.00
532.00,29.00
532.50,28.75
533.00,29.00
533.50,29.25
534.00,29.00
534.50,29.00
535.00,28.75
535.50,29.25
536.00,29.25
536.50,29.25
537.00,29.00
537.50,29.25
538.00,29.00
538.50,29.25
539.00,29.00
539.50,29.00
540.00,29.25
540.50,29.00
541.00,28.75
541.50,29.25
542.00,29.25
542.50,29.00
543.00,28.75
543.50,29.00
544.00,29.25
544.50,29.25
545.00,29.00
545.50,29.00
546.00,28.75
546.50,29.25
547.00,29.50
547.50,29.50
548.00,29.25
548.50,29.00
549.00,28.75
549.50,29.00
550.00,29.00
550.50,29.00
551.00,29.50
551.50,29.25
552.00,29.25
552.50,29.50
553.00,29.25
553.50,29.25
554.00,29.50
554.50,29.50
555.00,29.00
555.50,29.25
556.00,29.00
556.50,29.50
557.00,29.50
557.50,29.25
558.00,29.50
558.50,29.50
559.00,29.75
559.50,28.75
560.00,29.50
560.50,29.25
561.00,29.00
561.50,29.50
562.00,29.75
562.50,29.50
563.00,29.50
563.50,29.50
564.00,29.75
564.50,29.50
565.00,29.50
565.50,29.75
566.00,29.75
566.50,29.75
567.00,29.50
567.50,29.25
568.00,29.75
568.50,29.75
569.00,29.25
569.50,28.75
570.00,29.00
570.50,29.00
571.00,29.50
571.50,29.00
572.00,28.75
572.50,28.75
573.00,28.75
573.50,29.75
574.00,29.75
574.50,29.75
575.00,29.75
575.50,29.50
576.00,30.00
576.50,29.75
577.00,29.75
577.50,29.75
578.00,29.75
578.50,29.50
579.00,29.50
