tiempo_s,temperatura_C
0.00,23.75
0.50,24.00
1.00,23.50
1.50,23.75
2.00,24.00
2.50,24.00
3.00,24.00
3.50,24.00
4.00,24.00
4.50,23.75
5.00,23.75
5.50,23.75
6.00,24.25
6.50,24.00
7.00,23.75
7.50,23.75
8.00,23.50
8.50,23.75
9.00,23.75
9.50,24.00
10.00,24.00
10.50,23.50
11.00,24.00
11.50,23.50
12.00,23.50
12.50,24.00
13.00,24.00
13.50,24.00
14.00,23.50
14.50,24.00
15.00,23.75
15.50,23.75
16.00,23.75
16.50,23.50
17.00,24.00
17.50,23.75
18.00,24.00
18.50,23.75
19.00,23.50
19.50,23.75
20.00,23.50
20.50,24.00
21.00,24.00
21.50,24.00
22.00,23.75
22.50,24.00
23.00,23.50
23.50,24.00
24.00,23.50
24.50,23.75
25.00,23.25
25.50,23.50
26.00,24.00
26.50,23.75
27.00,24.00
27.50,24.00
28.00,23.50
28.50,23.75
29.00,24.00
29.50,23.75
30.00,24.00
30.50,23.25
31.00,24.00
31.50,23.75
32.00,23.50
32.50,23.50
33.00,23.75
33.50,23.75
34.00,23.75
34.50,23.75
35.00,23.50
35.50,24.00
36.00,23.75
36.50,23.50
37.00,24.00
37.50,24.00
38.00,24.00
38.50,23.25
39.00,23.50
39.50,24.00
40.00,23.75
40.50,24.00
41.00,24.00
41.50,23.50
42.00,23.25
42.50,23.75
43.00,23.75
43.50,23.75
44.00,23.50
44.50,23.75
45.00,23.75
45.50,23.75
46.00,23.75
46.50,23.50
47.00,24.00
47.50,23.75
48.00,23.75
48.50,23.25
49.00,23.50
49.50,23.25
50.00,23.75
50.50,23.75
51.00,23.50
51.50,23.25
52.00,23.75
52.50,23.50
53.00,23.50
53.50,23.25
54.00,24.00
54.50,24.00
55.00,23.75
55.50,24.00
56.00,23.50
56.50,23.75
57.00,23.50
57.50,23.75
58.00,24.00
58.50,23.25
59.00,23.25
59.50,23.50
60.00,23.50
60.50,23.50
61.00,23.50
61.50,23.25
62.00,23.50
62.50,23.50
63.00,23.75
63.50,23.25
64.00,23.75
64.50,23.25
65.00,24.00
65.50,23.25
66.00,23.75
66.50,23.25
67.00,23.50
67.50,23.75
68.00,24.00
68.50,23.75
69.00,24.00
69.50,24.00
70.00,24.00
70.50,23.75
71.00,24.00
71.50,23.75
72.00,23.50
72.50,23.75
73.00,23.75
73.50,23.75
74.00,24.00
74.50,23.50
75.00,23.50
75.50,23.75
76.00,24.00
76.50,23.25
77.00,23.25
77.50,23.75
78.00,24.00
78.50,23.50
79.00,23.25
79.50,24.00
80.00,23.75
80.50,23.75
81.00,23.50
81.50,23.75
82.00,23.75
82.50,23.25
83.00,23.50
83.50,24.00
84.00,23.25
84.50,23.50
85.00,23.50
85.50,23.50
86.00,23.75
86.50,23.75
87.00,23.50
87.50,23.75
88.00,23.50
88.50,23.50
89.00,23.25
89.50,23.75
90.00,24.00
90.50,23.25
91.00,23.50
91.50,23.50
92.00,23.50
92.50,23.75
93.00,23.25
93.50,23.75
94.00,23.75
94.50,23.75
95.00,23.50
95.50,23.75
96.00,23.50
96.50,24.00
97.00,24.00
97.50,24.00
98.00,23.50
98.50,23.75
99.00,23.25
99.50,23.50
100.00,23.50
100.50,23.50
101.00,23.75
101.50,24.00
102.00,23.00
102.50,23.50
103.00,24.00
103.50,23.50
104.00,23.75
104.50,24.00
105.00,23.25
105.50,22.75
106.00,23.75
106.50,23.75
107.00,23.00
107.50,24.00
108.00,23.75
108.50,23.75
109.00,23.25
109.50,23.75
110.00,23.75
110.50,24.00
111.00,24.00
111.50,23.75
112.00,23.50
112.50,23.25
113.00,23.75
113.50,24.00
114.00,23.50
114.50,24.00
115.00,23.75
115.50,23.00
116.00,23.25
116.50,23.75
117.00,23.25
117.50,23.25
118.00,23.50
118.50,23.75
119.00,23.75
119.50,23.50
120.00,23.50
120.50,23.75
121.00,23.25
121.50,23.25
122.00,23.50
122.50,23.25
123.00,23.75
123.50,23.50
124.00,23.50
124.50,23.75
125.00,23.50
125.50,23.75
126.00,23.75
126.50,23.25
127.00,23.75
127.50,23.50
128.00,23.75
128.50,23.50
129.00,23.25
129.50,23.25
130.00,23.75
130.50,24.00
131.00,23.50
131.50,23.25
132.00,23.50
132.50,23.00
133.00,23.50
133.50,23.75
134.00,23.25
134.50,23.00
135.00,23.25
135.50,23.00
136.00,23.50
136.50,23.50
137.00,23.75
137.50,23.25
138.00,23.50
138.50,24.00
139.00,23.75
139.50,23.50
140.00,23.75
140.50,23.75
141.00,23.75
141.50,23.25
142.00,23.50
142.50,23.25
143.00,23.25
143.50,23.75
144.00,23.00
144.50,23.75
145.00,23.50
145.50,23.25
146.00,24.00
146.50,23.50
147.00,23.00
147.50,23.25
148.00,23.25
148.50,23.25
149.00,24.00
149.50,23.00
150.00,23.75
150.50,23.50
151.00,22.75
151.50,23.50
152.00,23.25
152.50,23.50
153.00,23.50
153.50,23.50
154.00,23.25
154.50,23.75
155.00,23.75
155.50,23.75
156.00,23.50
156.50,23.50
157.00,23.50
157.50,23.75
158.00,23.75
158.50,23.25
159.00,23.00
159.50,23.50
160.00,23.50
160.50,23.00
161.00,23.25
161.50,23.75
162.00,23.25
162.50,23.75
163.00,23.75
163.50,23.50
164.00,23.75
164.50,23.75
165.00,23.50
165.50,23.00
166.00,23.25
166.50,23.75
167.00,23.75
167.50,23.75
168.00,23.50
168.50,23.25
169.00,22.75
169.50,23.25
170.00,23.50
170.50,23.75
171.00,23.25
171.50,23.00
172.00,23.75
172.50,23.50
173.00,23.50
173.50,23.75
174.00,23.25
174.50,23.25
175.00,23.50
175.50,23.50
176.00,23.00
176.50,23.50
177.00,23.75
177.50,23.75
178.00,23.75
178.50,23.50
179.00,23.25
179.50,23.50
180.00,23.75
180.50,23.00
181.00,23.50
181.50,23.50
182.00,23.25
182.50,23.50
183.00,23.50
183.50,23.75
184.00,23.50
184.50,23.25
185.00,23.75
185.50,22.75
186.00,23.75
186.50,23.25
187.00,24.25
187.50,23.50
188.00,23.50
188.50,23.75
189.00,23.00
189.50,23.75
190.00,23.25
190.50,23.75
191.00,23.25
191.50,23.50
192.00,23.75
192.50,23.25
193.00,23.50
193.50,23.75
194.00,23.50
194.50,24.00
195.00,23.25
195.50,23.50
196.00,23.75
196.50,23.75
197.00,24.00
197.50,23.25
198.00,23.25
198.50,24.00
199.00,23.25
199.50,23.00
200.00,23.00
200.50,23.75
201.00,23.25
201.50,23.50
202.00,24.00
202.50,23.50
203.00,24.00
203.50,23.75
204.00,23.25
204.50,23.50
205.00,23.25
205.50,24.00
206.00,23.50
206.50,23.25
207.00,23.25
207.50,24.00
208.00,23.75
208.50,23.25
209.00,24.00
209.50,23.75
210.00,23.00
210.50,23.75
211.00,24.00
211.50,23.25
212.00,23.75
212.50,23.75
213.00,23.50
213.50,23.75
214.00,23.00
214.50,23.50
215.00,24.00
215.50,23.75
216.00,23.75
216.50,23.50
217.00,23.50
217.50,24.00
218.00,24.00
218.50,23.75
219.00,23.25
219.50,23.25
220.00,23.50
220.50,23.50
221.00,23.50
221.50,24.00
222.00,23.75
222.50,23.75
223.00,24.00
223.50,23.50
224.00,23.75
224.50,23.75
225.00,24.00
225.50,23.50
226.00,24.00
226.50,24.00
227.00,23.75
227.50,24.00
228.00,23.75
228.50,24.00
229.00,23.75
229.50,23.75
230.00,23.00
230.50,23.75
