tiempo_s,temperatura_C
0.00,25.00
0.50,25.00
1.00,25.25
1.50,24.75
2.00,24.50
2.50,24.75
3.00,25.00
3.50,25.25
4.00,25.00
4.50,25.00
5.00,25.00
5.50,25.00
6.00,25.00
6.50,25.00
7.00,25.00
7.50,25.00
8.00,25.00
8.50,24.50
9.00,24.75
9.50,25.00
10.00,24.75
10.50,24.50
11.00,24.75
11.50,24.50
12.00,24.75
12.50,24.25
13.00,24.75
13.50,25.00
14.00,24.75
14.50,24.75
15.00,24.75
15.50,24.75
16.00,25.00
16.50,25.25
17.00,25.00
17.50,24.75
18.00,24.75
18.50,25.00
19.00,24.75
19.50,24.50
20.00,24.25
20.50,25.00
21.00,24.75
21.50,24.75
22.00,24.75
22.50,24.50
23.00,24.50
23.50,24.25
24.00,25.00
24.50,25.00
25.00,24.25
25.50,25.00
26.00,25.25
26.50,25.00
27.00,24.75
27.50,24.75
28.00,25.00
28.50,24.50
29.00,25.25
29.50,25.00
30.00,24.75
30.50,24.50
31.00,24.75
31.50,24.75
32.00,25.00
32.50,24.75
33.00,24.75
33.50,24.75
34.00,24.75
34.50,24.75
35.00,25.00
35.50,24.25
36.00,24.25
36.50,25.00
37.00,24.75
37.50,24.25
38.00,24.75
38.50,25.25
39.00,24.00
39.50,24.75
40.00,24.50
40.50,25.00
41.00,24.25
41.50,24.75
42.00,24.50
42.50,24.75
43.00,24.50
43.50,24.75
44.00,24.75
44.50,24.25
45.00,25.00
45.50,24.75
46.00,24.75
46.50,24.50
47.00,24.75
47.50,24.75
48.00,24.75
48.50,24.75
49.00,24.50
49.50,24.75
50.00,25.00
50.50,25.00
51.00,25.00
51.50,24.00
52.00,24.50
52.50,25.00
53.00,24.25
53.50,24.75
54.00,24.50
54.50,24.75
55.00,24.50
55.50,24.75
56.00,25.00
56.50,24.50
57.00,24.75
57.50,24.25
58.00,24.75
58.50,24.75
59.00,24.25
59.50,24.75
60.00,24.25
60.50,24.50
61.00,24.25
61.50,24.75
62.00,24.50
62.50,24.50
63.00,24.25
63.50,25.00
64.00,24.25
64.50,24.75
65.00,24.50
65.50,24.25
66.00,24.75
66.50,24.25
67.00,24.50
67.50,24.50
68.00,24.50
68.50,24.75
69.00,24.25
69.50,24.50
70.00,24.50
70.50,24.50
