tiempo_s,temperatura_C
0.00,21.50
0.50,21.75
1.00,21.75
1.50,21.50
2.00,21.50
2.50,21.50
3.00,21.50
3.50,21.00
4.00,21.75
4.50,21.50
5.00,21.50
5.50,21.50
6.00,21.25
6.50,21.50
7.00,21.75
7.50,21.25
8.00,21.25
8.50,21.75
9.00,21.25
9.50,21.50
10.00,21.75
10.50,21.75
11.00,21.25
11.50,21.75
12.00,21.75
12.50,21.50
13.00,21.50
13.50,21.75
14.00,21.50
14.50,21.75
15.00,21.75
15.50,21.25
16.00,21.75
16.50,21.75
17.00,21.75
17.50,21.50
18.00,21.75
18.50,21.00
19.00,21.75
19.50,21.50
20.00,21.25
20.50,21.75
21.00,21.50
21.50,21.50
22.00,21.50
22.50,21.75
23.00,21.75
23.50,21.00
24.00,21.50
24.50,21.75
25.00,21.25
25.50,21.00
26.00,21.50
26.50,21.50
27.00,21.50
27.50,21.50
28.00,22.00
28.50,21.75
29.00,21.50
29.50,21.25
30.00,21.75
30.50,21.75
31.00,21.00
31.50,21.25
32.00,20.75
32.50,20.75
33.00,21.50
33.50,21.50
34.00,21.75
34.50,21.75
35.00,21.75
35.50,21.75
36.00,21.75
36.50,21.00
37.00,21.50
37.50,21.75
38.00,21.25
38.50,21.50
39.00,21.75
39.50,21.75
40.00,21.75
40.50,21.75
41.00,21.75
41.50,21.25
42.00,21.75
42.50,21.50
43.00,21.50
43.50,21.75
44.00,21.50
44.50,21.75
45.00,21.75
45.50,21.50
46.00,21.00
46.50,21.75
47.00,21.25
47.50,21.75
48.00,21.25
48.50,21.75
49.00,21.75
49.50,21.75
50.00,21.75
50.50,21.50
51.00,21.75
51.50,21.25
52.00,21.50
52.50,21.50
53.00,21.25
53.50,21.25
54.00,21.25
54.50,21.25
55.00,21.50
55.50,21.50
56.00,21.50
56.50,21.75
57.00,21.50
57.50,21.00
58.00,21.50
58.50,21.50
59.00,21.50
59.50,21.75
60.00,21.25
60.50,21.25
61.00,21.25
61.50,21.25
62.00,21.75
62.50,21.50
63.00,21.50
63.50,21.50
64.00,21.75
64.50,21.50
65.00,21.50
65.50,21.75
66.00,21.75
66.50,21.75
67.00,21.75
67.50,21.00
68.00,21.50
68.50,20.75
69.00,21.25
69.50,21.25
70.00,21.75
70.50,21.75
71.00,21.50
71.50,21.50
72.00,21.25
72.50,21.50
73.00,21.50
73.50,21.50
74.00,21.75
74.50,21.50
75.00,21.75
75.50,21.50
76.00,21.50
76.50,21.50
77.00,22.00
77.50,21.50
78.00,21.75
78.50,21.25
79.00,21.50
79.50,21.50
80.00,21.50
80.50,21.50
81.00,21.75
81.50,21.25
82.00,21.75
82.50,21.50
83.00,21.50
83.50,21.25
84.00,21.75
84.50,21.25
85.00,21.50
85.50,21.50
86.00,21.50
86.50,21.50
87.00,21.25
87.50,20.75
88.00,21.25
88.50,21.75
89.00,21.00
89.50,21.25
90.00,21.00
90.50,21.75
91.00,21.75
91.50,21.25
92.00,21.50
92.50,21.75
93.00,21.25
93.50,21.50
94.00,21.25
94.50,21.50
95.00,21.75
95.50,21.00
96.00,21.25
96.50,21.75
97.00,21.75
97.50,21.50
98.00,21.50
98.50,21.00
99.00,21.25
99.50,21.75
100.00,21.75
100.50,21.25
101.00,22.00
101.50,21.50
102.00,21.75
102.50,21.25
103.00,21.25
103.50,21.25
104.00,21.75
104.50,21.50
105.00,21.50
105.50,21.50
106.00,20.75
106.50,21.50
107.00,20.75
107.50,21.50
108.00,21.25
108.50,21.50
109.00,21.50
109.50,21.00
110.00,21.50
110.50,21.50
111.00,21.50
111.50,21.75
112.00,21.75
112.50,21.75
113.00,21.00
113.50,21.25
114.00,21.75
114.50,21.50
115.00,21.25
115.50,21.50
116.00,20.75
116.50,21.50
117.00,21.75
117.50,21.50
118.00,21.50
118.50,21.75
119.00,21.50
119.50,21.75
120.00,21.75
120.50,21.50
121.00,21.25
121.50,21.50
122.00,21.25
122.50,21.25
123.00,21.75
123.50,21.50
124.00,21.25
124.50,21.75
125.00,21.75
125.50,21.50
126.00,21.50
126.50,21.75
127.00,21.50
127.50,22.00
128.00,21.25
128.50,21.50
129.00,21.50
129.50,21.75
130.00,21.50
130.50,21.00
131.00,21.50
131.50,21.50
132.00,21.25
132.50,21.75
133.00,21.75
133.50,21.75
134.00,21.50
134.50,21.00
135.00,21.25
135.50,21.50
136.00,21.25
136.50,21.50
137.00,21.00
137.50,21.50
138.00,21.25
138.50,21.75
139.00,21.25
139.50,21.25
140.00,21.50
140.50,21.25
141.00,21.75
141.50,21.50
142.00,21.25
142.50,21.75
143.00,21.75
143.50,21.25
144.00,21.00
144.50,21.50
145.00,21.75
145.50,21.50
146.00,21.25
146.50,21.50
147.00,21.50
147.50,21.00
148.00,21.75
148.50,21.75
149.00,21.50
149.50,21.00
150.00,21.75
150.50,21.75
151.00,21.25
151.50,21.75
152.00,21.50
152.50,21.75
153.00,21.50
153.50,21.75
154.00,21.50
154.50,21.50
155.00,21.50
155.50,21.00
156.00,21.00
156.50,21.25
157.00,21.50
157.50,21.50
158.00,21.50
158.50,21.00
159.00,21.50
159.50,21.50
160.00,20.50
160.50,21.50
161.00,21.50
161.50,21.50
162.00,21.75
162.50,21.75
163.00,21.75
163.50,21.50
164.00,21.50
164.50,21.25
165.00,21.50
165.50,21.50
166.00,21.50
166.50,21.50
167.00,21.50
167.50,21.00
168.00,21.75
168.50,21.50
169.00,21.50
169.50,21.75
170.00,21.75
170.50,21.25
171.00,21.50
171.50,21.50
172.00,21.50
172.50,21.25
173.00,21.00
173.50,21.50
174.00,21.50
174.50,21.25
175.00,21.25
175.50,21.75
176.00,21.50
176.50,21.50
177.00,21.50
177.50,21.50
178.00,21.25
178.50,21.50
179.00,21.50
179.50,21.00
180.00,21.50
180.50,21.50
181.00,21.75
181.50,21.25
182.00,21.50
182.50,21.50
183.00,21.50
183.50,21.50
184.00,21.00
184.50,21.50
185.00,21.25
185.50,21.25
186.00,21.50
186.50,21.50
187.00,21.50
187.50,21.25
188.00,21.75
188.50,21.75
189.00,21.50
189.50,21.75
190.00,21.75
190.50,21.00
191.00,21.75
191.50,21.25
192.00,21.50
192.50,21.50
193.00,21.25
193.50,21.75
194.00,21.50
194.50,21.50
195.00,21.50
195.50,21.00
196.00,21.75
196.50,21.75
197.00,21.75
197.50,21.50
198.00,21.50
198.50,21.50
199.00,21.50
199.50,20.50
200.00,21.50
200.50,21.50
201.00,21.50
201.50,21.50
202.00,21.25
202.50,21.75
203.00,21.50
203.50,21.00
204.00,21.50
204.50,21.75
205.00,21.50
205.50,21.50
206.00,21.75
206.50,21.00
207.00,20.75
207.50,21.50
208.00,21.50
208.50,21.25
209.00,21.50
209.50,21.75
210.00,21.50
210.50,21.25
211.00,21.50
211.50,21.75
212.00,21.50
212.50,21.75
213.00,21.25
213.50,21.25
214.00,21.50
214.50,21.50
215.00,21.50
215.50,21.25
216.00,21.50
216.50,21.25
217.00,21.25
217.50,21.50
218.00,21.50
218.50,21.75
219.00,21.00
219.50,21.25
220.00,21.25
220.50,21.75
221.00,21.75
221.50,21.50
222.00,21.50
222.50,21.50
223.00,21.50
223.50,21.50
224.00,21.75
224.50,21.50
225.00,21.75
225.50,21.50
226.00,21.50
226.50,21.50
227.00,21.50
227.50,21.50
228.00,21.50
228.50,21.50
229.00,21.75
229.50,21.00
230.00,21.50
230.50,21.75
231.00,21.75
231.50,21.75
232.00,21.25
232.50,21.75
233.00,21.50
233.50,21.50
234.00,21.50
234.50,21.25
235.00,21.75
235.50,21.50
236.00,21.50
236.50,21.75
237.00,21.50
237.50,21.75
238.00,21.75
238.50,21.25
239.00,21.75
239.50,21.75
240.00,21.25
240.50,21.50
241.00,21.25
241.50,21.50
242.00,21.25
242.50,21.25
243.00,21.75
243.50,21.75
244.00,21.75
244.50,21.25
245.00,21.75
245.50,21.50
246.00,21.75
246.50,21.75
247.00,21.75
247.50,21.50
248.00,21.75
248.50,21.50
249.00,21.50
249.50,21.75
250.00,21.75
250.50,21.50
251.00,21.75
251.50,21.25
252.00,21.25
252.50,21.00
253.00,21.75
253.50,21.75
254.00,21.75
254.50,21.75
255.00,21.00
255.50,21.75
256.00,20.75
256.50,21.75
257.00,21.50
257.50,21.75
258.00,21.75
258.50,21.75
259.00,22.00
259.50,21.75
260.00,21.75
260.50,21.25
261.00,21.50
261.50,21.25
262.00,21.75
262.50,21.50
263.00,21.75
263.50,21.25
264.00,21.75
264.50,21.75
265.00,21.75
265.50,21.75
266.00,21.75
266.50,21.50
267.00,21.75
267.50,21.50
268.00,22.00
268.50,21.75
269.00,21.75
269.50,21.75
270.00,21.75
270.50,21.75
271.00,21.75
271.50,21.75
272.00,21.75
272.50,22.00
273.00,21.75
273.50,21.75
274.00,21.75
274.50,21.75
275.00,21.25
275.50,21.25
276.00,22.00
276.50,21.50
